bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,,       pdf_url,,,,,,                     image_url
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9.78E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,,https://drive.google.com/file/d/14ExkybMEEWY8m4qQCesfGewYa88LjSP_/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1w2VIiVU-msDTCbkX4iAf4ehyPFSoBaQ_/view?usp=drive_link
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9.78E+12,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,,https://drive.google.com/file/d/1d2-JmT4CS7utvj1TMzlXUqNRScHxs7ga/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1geRgBRp_PqC8Xp0zcxeJDqAozpaNbh1Q/view?usp=drive_link
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9.78E+12,eng,352,6333,244,11/1/2003,Scholastic,,https://drive.google.com/file/d/1zgFEpznqER-l4TtSq19DyxJmHpuQvnKx/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1p0bxya6nk00EvO8vU7JJ8PKKWD4j5AEd/view?usp=drive_link
4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78E+12,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,,https://drive.google.com/file/d/1qufZyq2EllptClABZ5ly9ZWlFL2HN1YY/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1dqJ5H6MM-vUAY9_a2OUZYfE2Pnu22Ld8/view?usp=drive_link
5,Harry Potter Boxed Set  Books4 (Harry Potter  #4),J.K. Rowling/Mary GrandPré,4.78,439682584,9.78E+12,eng,2690,41428,164,9/13/2004,Scholastic,,https://drive.google.com/file/d/1K-tpdTmVdPtBOCnBJCkBStstfHQHqUWb/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1dqJ5H6MM-vUAY9_a2OUZYfE2Pnu22Ld8/view?usp=drive_link
6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9.78E+12,en-US,152,19,1,4/26/2005,Nimble Books,,https://drive.google.com/file/d/1OXmPC6UwRsFH6OlsqUT3on-X1CvgcudM/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1swNUeQkWC2Fbw-PpXixMzfoR_ShYvhjO/view?usp=drive_link
7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78E+12,eng,3342,28242,808,9/12/2005,Scholastic,,https://drive.google.com/file/d/1ogK62U5EfbC10LbwRIJ1UKTju3iBc1kF/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1kZAOOyxhbHsEyg09Jn4S970yKK68KvVE/view?usp=drive_link
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78E+12,eng,815,3628,254,11/1/2005,Gramercy Books,,https://drive.google.com/file/d/1V5J3X2lXny0IhVZALK4XasBtlcB12kct/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1y49jAcIl47oW8o30OEdTY6rUte_fPobn/view?usp=drive_link
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9.78E+12,eng,815,249558,4080,4/30/2002,Del Rey Books,,https://drive.google.com/file/d/16wRe0vI5d6pP5n0rIRU50wzXCla_bCGZ/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1nU2B1hn4nfNN75yQlB8g3BURYP69D3fk/view?usp=drive_link
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.78E+12,eng,215,4930,460,8/3/2004,Crown,,https://drive.google.com/file/d/1VcvwqrG6p2-hgOE_oucRsg-vfrEqGdFa/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1nQMBdz-2Pts0O_Fbtcetic47JoR601rh/view?usp=drive_link
11,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9.78E+12,eng,544,248558,9396,9/14/2004,Broadway Books,,https://drive.google.com/file/d/1N97B4btnPBt5yHZ8384Vg8PC4RJT3NWA/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1jsj9MdGAKGr9HP0sDm1b-4znPDE8B_Yv/view?usp=drive_link
12,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9.78E+12,eng,55,7270,499,12/3/2002,Broadway Books,,https://drive.google.com/file/d/1fm5rAydSxAL4kTOF22ymINGNCvdIQzcW/view?usp=drive_link,,,,,,https://drive.google.com/file/d/1jsj9MdGAKGr9HP0sDm1b-4znPDE8B_Yv/view?usp=drive_link
